n_annotations_per_tile,train,val,eval
0,49686,8856,24
1,1416,285,2
2,879,162,6
3,727,139,0
4,569,98,0
5,489,69,2
6,348,70,3
7,302,50,6
8,277,38,4
9,223,40,2
10,168,24,2
11,159,19,3
12,121,13,2
13,110,17,2
14,118,17,5
15,88,15,2
16,66,7,1
17,72,8,1
18,70,8,2
19,57,11,4
20,46,7,3
21,30,7,1
22,44,2,3
23,37,10,5
24,32,5,1
25,36,4,4
26,20,3,4
27,31,4,0
28,24,8,3
29,22,6,3
30,27,1,1
31,22,4,1
32,23,4,1
33,23,3,1
34,21,7,3
35,24,3,3
36,12,9,1
37,21,1,1
38,14,4,0
39,14,4,2
40,13,6,1
41,15,1,0
42,17,5,2
43,11,8,0
44,12,5,2
45,14,2,0
46,15,2,3
47,13,4,2
48,6,1,0
49,10,0,1
50,22,4,3
51,9,5,0
52,9,2,2
53,12,3,1
54,5,2,0
55,6,0,0
56,3,0,1
57,10,0,1
58,7,0,3
59,3,0,2
60,3,0,1
61,3,1,2
62,2,0,1
63,3,0,1
64,3,0,1
65,3,1,0
66,2,0,2
67,3,0,1
68,4,0,3
69,1,0,0
70,2,0,0
71,1,0,0
72,2,0,0
73,0,0,1
75,1,0,0
