n_annotations_per_tile,train,val,eval
0,28198,5020,0
1,645,117,0
2,414,59,0
3,371,59,0
4,288,47,0
5,248,37,0
6,185,24,0
7,155,31,0
8,163,32,0
9,131,23,0
10,97,22,0
11,85,18,0
12,90,16,0
13,56,18,1
14,61,19,1
15,56,11,0
16,47,10,0
17,44,13,0
18,36,11,0
19,39,6,0
20,22,3,0
21,25,3,0
22,21,4,0
23,17,6,0
24,18,6,0
25,15,4,0
26,15,7,0
27,12,1,1
28,10,6,0
29,15,3,0
30,10,6,0
31,12,6,0
32,10,3,0
33,10,2,0
34,8,4,0
35,7,1,0
36,4,0,0
37,3,1,0
38,4,3,0
39,6,2,0
40,5,1,0
41,1,2,0
42,6,3,0
43,3,1,0
44,3,2,0
45,2,1,0
46,5,0,1
47,4,2,1
48,0,0,1
49,3,0,0
50,1,0,0
51,2,0,0
53,1,2,1
54,6,1,0
55,2,4,0
56,1,1,0
57,5,1,1
58,5,0,0
59,2,0,1
60,2,1,1
61,3,0,0
62,2,3,0
63,2,0,1
64,1,0,0
65,1,0,0
66,4,0,0
67,4,1,2
68,3,2,1
69,3,0,0
70,4,1,2
71,5,2,2
72,5,1,0
73,8,2,0
74,15,1,1
75,5,5,3
76,11,2,2
77,2,0,4
78,3,1,2
79,9,4,3
80,5,2,3
81,9,4,5
82,9,3,5
83,5,3,1
84,12,4,1
85,8,7,7
86,8,3,2
87,11,7,4
88,6,6,9
89,12,7,17
90,15,5,15
91,10,1,9
92,16,2,4
93,9,1,6
94,11,1,6
95,9,1,7
96,11,3,4
97,13,1,11
98,18,1,5
99,12,1,7
100,10,0,1
101,2,0,1
102,2,0,0
103,1,0,2
107,1,0,0
