n_annotations_per_tile,train,val,eval
0,61604,10853,18
1,1685,327,1
2,1132,185,0
3,925,176,2
4,767,161,0
5,635,130,2
6,499,110,0
7,510,90,0
8,400,91,1
9,370,79,0
10,302,48,0
11,267,47,0
12,261,48,0
13,190,36,0
14,188,40,0
15,165,14,0
16,153,26,1
17,123,26,0
18,93,21,1
19,100,13,0
20,79,19,1
21,74,13,1
22,57,8,1
23,49,15,0
24,51,11,0
25,40,4,1
26,41,13,1
27,43,4,1
28,29,3,1
29,29,9,2
30,28,4,2
31,29,8,1
32,24,2,1
33,12,4,0
34,16,3,1
35,13,3,0
36,7,3,0
37,13,0,0
38,12,3,1
39,6,2,0
40,5,1,0
41,7,0,0
42,7,2,0
43,4,1,1
44,6,1,0
45,11,4,1
46,4,0,0
47,4,1,0
48,4,1,0
49,2,1,1
50,3,1,0
51,4,1,0
52,3,0,0
53,2,0,0
54,3,1,0
55,3,0,0
56,6,0,1
57,1,0,0
58,2,0,0
59,1,1,0
60,2,1,0
61,0,0,1
63,2,0,0
64,1,1,1
65,0,2,0
66,1,0,1
67,2,0,0
68,3,1,0
69,2,1,1
70,1,0,0
71,7,0,0
72,3,0,1
73,8,0,0
74,8,0,0
75,4,3,3
76,6,1,1
77,7,2,1
78,9,0,0
79,14,2,0
80,12,1,2
81,18,5,2
82,11,3,1
83,14,3,1
84,16,0,0
85,20,1,8
86,15,2,4
87,22,4,8
88,21,6,3
89,28,14,10
90,34,14,13
91,22,12,5
92,18,3,4
93,20,3,2
94,19,2,3
95,13,3,2
96,10,8,5
97,18,2,6
98,31,5,4
99,28,7,9
100,11,0,1
101,5,0,1
102,2,1,0
103,1,1,2
107,1,0,0
